,PIN,Property Class,Tax Year,Neighborhood Code,Land Square Feet,Town Code,Type of Residence,Apartments,Wall Material,Roof Material,Rooms,Bedrooms,Basement,Basement Finish,Central Heating,Other Heating,Central Air,Fireplaces,Attic Type,Attic Finish,Half Baths,Design Plan,Cathedral Ceiling,Construction Quality,Renovation,Site Desireability,Garage 1 Size,Garage 1 Material,Garage 1 Attachment,Garage 1 Area,Garage 2 Size,Garage 2 Material,Garage 2 Attachment,Garage 2 Area,Porch,Other Improvements,Building Square Feet,Repair Condition,Multi Code,Number of Commercial Units,Prior Tax Year Market Value Estimate (Land),Prior Tax Year Market Value Estimate (Building),Date of Most Recent Sale,Deed No.,Sale Price,Longitude,Latitude,Census Tract,Total Building Square Feet,Multi Property Indicator,Property Address,Modeling Group,Full Baths,Age,Use,Number of Units,Percent Ownership,Condo Class Factor,Multi-Family Indicator,Large Lot,"Condition, Desirability and Utility",Deed Type,O'Hare Noise,Floodplain,Near Major Road,Total Units,Condo Strata,Age Squared,Age Decade,Age Decade Squared,Lot Size Squared,Improvement Size Squared,Location Factor,Garage indicator,Residential share of building,Pure Market Sale,Pure Market Filter,Neigborhood Code (mapping),Square root of lot size,Square root of age,Square root of improvement size,Town and Neighborhood
1865189,28251170211013,299,2019,260,21833,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,3470.0,50800.0,,,,-87.6900374213119,41.5796000250534,825503.0,,0,17008  NOVAK DR,NCHARS,,40,1,23.0,0.05,299.0,,,,,0.0,1.0,0.0,23.0,1.0,1600,4.0,16.0,476679889,,0.491407471736492,,1.0,0,0,260,147.759940443951,6.32455532033676,,13260
1865385,28251170211012,299,2019,260,21833,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,2990.0,65280.0,,,,-87.6900374213119,41.5796000250534,825503.0,,0,17008  NOVAK DR,NCHARS,,40,1,23.0,0.04,299.0,,,,,0.0,1.0,0.0,23.0,1.0,1600,4.0,16.0,476679889,,0.491407471736492,,1.0,0,0,260,147.759940443951,6.32455532033676,,13260
1865568,28251090550000,203,2019,260,5419,13,1.0,0.0,3.0,1.0,6.0,4.0,3.0,1.0,1.0,5.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,,2.0,2.0,3.0,1.0,2.0,7.0,0.0,0.0,0.0,3,0.0,1401.0,2.0,2.0,0.0,13540.0,81420.0,,,,-87.6939865213976,41.5802481172394,825503.0,,0,16961  KEDZIE AVE,SF,2.0,60,1,,,,,,,,0.0,0.0,1.0,1.0,,3600,6.0,36.0,29365561,1962801.0,0.507236021717407,1.0,,0,0,260,73.613857391119,7.74596669241483,37.4299345444258,13260
1865569,28251140430000,203,2019,260,6184,13,1.0,0.0,2.0,2.0,7.0,4.0,3.0,3.0,1.0,5.0,1.0,2.0,3.0,0.0,1.0,2.0,0.0,2.0,,2.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,1,137.0,1485.0,2.0,2.0,0.0,15460.0,74320.0,,,,-87.6939910851915,41.5798924670709,825503.0,,0,17001  KEDZIE AVE,SF,2.0,60,1,,,,,,,,0.0,0.0,1.0,1.0,,3600,6.0,36.0,38241856,2205225.0,0.505864680912072,1.0,,0,0,260,78.63841300535,7.74596669241483,38.5356977359954,13260
1865570,28251140440000,203,2019,260,5060,13,1.0,0.0,3.0,1.0,5.0,3.0,1.0,3.0,1.0,5.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3,0.0,1170.0,2.0,2.0,0.0,12650.0,58500.0,,,,-87.6939910915802,41.5797311275312,825503.0,,0,17007  KEDZIE AVE,SF,1.0,60,1,,,,,,,,0.0,0.0,1.0,1.0,,3600,6.0,36.0,25603600,1368900.0,0.505235820700749,0.0,,0,0,260,71.133676975115,7.74596669241483,34.2052627529741,13260
1865571,28251140450000,234,2019,260,7707,13,4.0,0.0,3.0,1.0,6.0,3.0,3.0,1.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,2.0,,2.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,1,0.0,1304.0,2.0,2.0,0.0,19260.0,72760.0,,,,-87.6936251028986,41.5798191307502,825503.0,,0,3141  170TH ST,SF,1.0,61,1,,,,,,,,0.0,0.0,0.0,1.0,,3721,6.1,37.21,59397849,1700416.0,0.504482051170892,1.0,,0,0,260,87.7895210147544,7.81024967590665,36.1109401705356,13260
1865572,28251140460000,203,2019,260,7686,13,1.0,0.0,2.0,1.0,7.0,4.0,3.0,3.0,2.0,5.0,1.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,,2.0,5.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,0.0,1433.0,2.0,2.0,0.0,19210.0,77060.0,,,,-87.6933936917803,41.5798185968958,825503.0,,0,3135  170TH ST,SF,2.0,60,1,,,,,,,,0.0,0.0,0.0,1.0,,3600,6.0,36.0,59074596,2053489.0,0.503771652419105,1.0,,0,0,260,87.6698351772148,7.74596669241483,37.8549864614954,13260
1865573,28251160130000,204,2019,260,24698,13,1.0,0.0,1.0,1.0,7.0,4.0,3.0,1.0,1.0,5.0,1.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,,2.0,3.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,3,0.0,2063.0,2.0,2.0,0.0,61740.0,67030.0,,,,-87.6891070992799,41.5813410635013,825503.0,,0,16921  HOLMES AVE,SF,3.0,49,1,,,,,,,,0.0,1.0,0.0,1.0,,2401,4.9,24.01,609991204,4255969.0,0.494354731333149,1.0,,0,0,260,157.15597347858,7.0,45.4202597967031,13260
1865574,28251160140000,204,2019,260,22912,13,1.0,0.0,2.0,1.0,7.0,3.0,1.0,1.0,1.0,5.0,1.0,2.0,3.0,0.0,1.0,2.0,2.0,2.0,,2.0,5.0,2.0,1.0,2.0,7.0,0.0,0.0,0.0,3,0.0,2778.0,2.0,2.0,0.0,57280.0,130300.0,,,,-87.6891422814155,41.5815924214732,825503.0,,0,16917  HOLMES AVE,SF,2.0,10,1,,,,,,,,0.0,1.0,0.0,1.0,,100,1.0,1.0,524959744,7717284.0,0.495437696174116,1.0,,0,0,260,151.367103427396,3.16227766016838,52.7067358124178,13260
1865575,28251160150000,234,2019,260,20560,13,4.0,0.0,1.0,1.0,6.0,3.0,3.0,1.0,1.0,5.0,1.0,2.0,3.0,0.0,1.0,2.0,2.0,2.0,,2.0,3.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,3,0.0,1486.0,2.0,2.0,0.0,51400.0,75820.0,,,,-87.6891850175642,41.5818511619872,825503.0,,0,16913  HOLMES AVE,SF,1.0,39,1,,,,,,,,0.0,1.0,0.0,1.0,,1521,3.9,15.21,422713600,2208196.0,0.496577963249962,1.0,,0,0,260,143.387586631479,6.2449979983984,38.5486705347928,13260
1865576,28251160160000,234,2019,260,16857,13,4.0,0.0,3.0,1.0,6.0,4.0,3.0,1.0,1.0,5.0,1.0,2.0,3.0,0.0,1.0,2.0,0.0,2.0,,2.0,4.0,2.0,1.0,2.0,7.0,0.0,0.0,0.0,3,0.0,1592.0,2.0,2.0,0.0,42140.0,89110.0,,,,-87.6891876562136,41.5820821278846,825503.0,,0,16909  HOLMES AVE,SF,2.0,42,1,,,,,,,,0.0,1.0,0.0,1.0,,1764,4.2,17.64,284158449,2534464.0,0.497452825100122,1.0,,0,0,260,129.834510050294,6.48074069840786,39.89987468652,13260
1865577,28251160170000,241,2019,260,16857,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,42140.0,0.0,,,,-87.6891894818825,41.5822865830335,825503.0,,0,16905  HOLMES AVE,NCHARS,,10,1,,,200.0,,,,,0.0,1.0,0.0,1.0,1.0,100,1.0,1.0,284158449,,0.498224596611159,,,0,0,260,129.834510050294,3.16227766016838,,13260
1865578,28251160180000,203,2019,260,20298,13,1.0,0.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,1.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,,2.0,3.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,3,0.0,1766.0,2.0,2.0,0.0,50740.0,78460.0,,,,-87.6891944606772,41.582517924527,825503.0,,0,16901  HOLMES AVE,SF,3.0,43,1,,,,,,,,0.0,1.0,0.0,1.0,,1849,4.3,18.49,412008804,3118756.0,0.499108852519965,1.0,,0,0,260,142.471049690806,6.557438524302,42.0238027789014,13260
1865579,28251160200000,278,2019,260,30753,13,2.0,0.0,1.0,1.0,8.0,4.0,3.0,3.0,1.0,5.0,1.0,2.0,3.0,0.0,1.0,2.0,0.0,2.0,,2.0,3.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,3,0.0,2432.0,2.0,2.0,0.0,76880.0,90080.0,,,,-87.6891007848589,41.5809757380406,825503.0,,0,16929  HOLMES AVE,SF,3.0,40,1,,,,,,,,0.0,1.0,0.0,1.0,,1600,4.0,16.0,945747009,5914624.0,0.49295919172221,1.0,,0,0,260,175.365332948106,6.32455532033676,49.3153120237518,13260
1865580,28251160210000,241,2019,260,10193,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,25480.0,0.0,,,,-87.6890969998632,41.5811608559341,825503.0,,0,16921  HOLMES AVE,NCHARS,,10,1,,,200.0,,,,,0.0,1.0,0.0,1.0,1.0,100,1.0,1.0,103897249,,0.493638564919637,,,0,0,260,100.960388271837,3.16227766016838,,13260
1865581,28251170211021,299,2019,260,21833,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,3470.0,75810.0,,,,-87.6900374213119,41.5796000250534,825503.0,,0,17008  NOVAK DR,NCHARS,,40,1,23.0,0.05,299.0,,,,,0.0,1.0,0.0,23.0,1.0,1600,4.0,16.0,476679889,,0.491407471736492,,1.0,0,0,260,147.759940443951,6.32455532033676,,13260
1865582,28251170211005,299,2019,260,21833,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,2850.0,62280.0,,,,-87.6900374213119,41.5796000250534,825503.0,,0,17008  NOVAK DR,NCHARS,,40,1,23.0,0.04,299.0,,,,,0.0,1.0,0.0,23.0,1.0,1600,4.0,16.0,476679889,,0.491407471736492,,1.0,0,0,260,147.759940443951,6.32455532033676,,13260
1865583,28251170211007,299,2019,260,21833,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,2780.0,60760.0,,,,-87.6900374213119,41.5796000250534,825503.0,,0,17008  NOVAK DR,NCHARS,,40,1,23.0,0.04,299.0,,,,,0.0,1.0,0.0,23.0,1.0,1600,4.0,16.0,476679889,,0.491407471736492,,1.0,0,0,260,147.759940443951,6.32455532033676,,13260
1865584,28251170211010,299,2019,260,21833,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,3470.0,59950.0,,,,-87.6900374213119,41.5796000250534,825503.0,,0,17010  NOVAK DR,NCHARS,,40,1,23.0,0.05,299.0,,,,,0.0,1.0,0.0,23.0,1.0,1600,4.0,16.0,476679889,,0.491407471736492,,1.0,0,0,260,147.759940443951,6.32455532033676,,13260
1865585,28251170211011,299,2019,260,21833,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,2780.0,60760.0,,,,-87.6900374213119,41.5796000250534,825503.0,,0,17008  NOVAK DR,NCHARS,,40,1,23.0,0.04,299.0,,,,,0.0,1.0,0.0,23.0,1.0,1600,4.0,16.0,476679889,,0.491407471736492,,1.0,0,0,260,147.759940443951,6.32455532033676,,13260
1865586,28251170211006,299,2019,260,21833,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,2990.0,65280.0,,,,-87.6900374213119,41.5796000250534,825503.0,,0,17008  NOVAK DR,NCHARS,,40,1,23.0,0.04,299.0,,,,,0.0,1.0,0.0,23.0,1.0,1600,4.0,16.0,476679889,,0.491407471736492,,1.0,0,0,260,147.759940443951,6.32455532033676,,13260
1865587,28251170211001,299,2019,260,21833,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,2850.0,62280.0,,,,-87.6900374213119,41.5796000250534,825503.0,,0,17010  NOVAK DR,NCHARS,,40,1,23.0,0.04,299.0,,,,,0.0,1.0,0.0,23.0,1.0,1600,4.0,16.0,476679889,,0.491407471736492,,1.0,0,0,260,147.759940443951,6.32455532033676,,13260
1865588,28251170211016,299,2019,260,21833,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,2990.0,65280.0,,,,-87.6900374213119,41.5796000250534,825503.0,,0,17010  NOVAK DR,NCHARS,,40,1,23.0,0.04,299.0,,,,,0.0,1.0,0.0,23.0,1.0,1600,4.0,16.0,476679889,,0.491407471736492,,1.0,0,0,260,147.759940443951,6.32455532033676,,13260
1865589,28251170211003,299,2019,260,21833,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,2780.0,40720.0,,,,-87.6900374213119,41.5796000250534,825503.0,,0,17010  NOVAK DR,NCHARS,,40,1,23.0,0.04,299.0,,,,,0.0,1.0,0.0,23.0,1.0,1600,4.0,16.0,476679889,,0.491407471736492,,1.0,0,0,260,147.759940443951,6.32455532033676,,13260
1865590,28251170211004,299,2019,260,21833,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,2780.0,60760.0,,,,-87.6900374213119,41.5796000250534,825503.0,,0,17010  NOVAK DR,NCHARS,,40,1,23.0,0.04,299.0,,,,,0.0,1.0,0.0,23.0,1.0,1600,4.0,16.0,476679889,,0.491407471736492,,1.0,0,0,260,147.759940443951,6.32455532033676,,13260
1865591,28251170211008,299,2019,260,21833,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,2990.0,28200.0,,,,-87.6900374213119,41.5796000250534,825503.0,,0,17010  NOVAK DR,NCHARS,,40,1,23.0,0.04,299.0,,,AV,,0.0,1.0,0.0,23.0,1.0,1600,4.0,16.0,476679889,,0.491407471736492,,1.0,0,0,260,147.759940443951,6.32455532033676,,13260
1865592,28251170211018,299,2019,260,21833,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,3470.0,50800.0,,,,-87.6900374213119,41.5796000250534,825503.0,,0,17010  NOVAK DR,NCHARS,,40,1,23.0,0.05,299.0,,,,,0.0,1.0,0.0,23.0,1.0,1600,4.0,16.0,476679889,,0.491407471736492,,1.0,0,0,260,147.759940443951,6.32455532033676,,13260
1865593,28251170211017,299,2019,260,21833,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,3470.0,75810.0,,,,-87.6900374213119,41.5796000250534,825503.0,,0,17010  NOVAK DR,NCHARS,,40,1,23.0,0.05,299.0,,,,,0.0,1.0,0.0,23.0,1.0,1600,4.0,16.0,476679889,,0.491407471736492,,1.0,0,0,260,147.759940443951,6.32455532033676,,13260
1865594,28251170211002,299,2019,260,21833,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,2990.0,51620.0,,,,-87.6900374213119,41.5796000250534,825503.0,,0,17010  NOVAK DR,NCHARS,,40,1,23.0,0.04,299.0,,,,,0.0,1.0,0.0,23.0,1.0,1600,4.0,16.0,476679889,,0.491407471736492,,1.0,0,0,260,147.759940443951,6.32455532033676,,13260
1865595,28251170231023,299,2019,260,10045,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,1220.0,51700.0,,,,-87.6905420282764,41.5796187730839,825503.0,,0,3010  171ST ST,NCHARS,,40,1,23.0,0.04,299.0,,,,,0.0,0.0,0.0,23.0,1.0,1600,4.0,16.0,100902025,,0.493358041952069,,1.0,0,0,260,100.224747442934,6.32455532033676,,13260
1865596,28251170231016,299,2019,260,10045,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,1410.0,59350.0,,,,-87.6905420282764,41.5796187730839,825503.0,,0,3008  171ST ST,NCHARS,,40,1,23.0,0.04,299.0,,,,,0.0,0.0,0.0,23.0,1.0,1600,4.0,16.0,100902025,,0.493358041952069,,1.0,0,0,260,100.224747442934,6.32455532033676,,13260
1865597,28251170231001,299,2019,260,10045,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,1380.0,58230.0,,,,-87.6905420282764,41.5796187730839,825503.0,,0,3008  171ST ST,NCHARS,,40,1,23.0,0.04,299.0,,,,,0.0,0.0,0.0,23.0,1.0,1600,4.0,16.0,100902025,,0.493358041952069,,1.0,0,0,260,100.224747442934,6.32455532033676,,13260
1865598,28251170231022,299,2019,260,10045,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,1570.0,66220.0,,,,-87.6905420282764,41.5796187730839,825503.0,,0,3010  171ST ST,NCHARS,,40,1,23.0,0.05,299.0,,,,,0.0,0.0,0.0,23.0,1.0,1600,4.0,16.0,100902025,,0.493358041952069,,1.0,0,0,260,100.224747442934,6.32455532033676,,13260
1865599,28251170231019,299,2019,260,10045,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,1230.0,45770.0,,,,-87.6905420282764,41.5796187730839,825503.0,,0,3008  171ST ST,NCHARS,,40,1,23.0,0.04,299.0,,,,,0.0,0.0,0.0,23.0,1.0,1600,4.0,16.0,100902025,,0.493358041952069,,1.0,0,0,260,100.224747442934,6.32455532033676,,13260
1865600,28251170231020,299,2019,260,10045,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,1410.0,47260.0,,,,-87.6905420282764,41.5796187730839,825503.0,,0,3010  171ST ST,NCHARS,,40,1,23.0,0.04,299.0,,,,,0.0,0.0,0.0,23.0,1.0,1600,4.0,16.0,100902025,,0.493358041952069,,1.0,0,0,260,100.224747442934,6.32455532033676,,13260
1865601,28251170231018,299,2019,260,10045,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,1570.0,53530.0,,,,-87.6905420282764,41.5796187730839,825503.0,,0,3008  171ST ST,NCHARS,,40,1,23.0,0.05,299.0,,,,,0.0,0.0,0.0,23.0,1.0,1600,4.0,16.0,100902025,,0.493358041952069,,1.0,0,0,260,100.224747442934,6.32455532033676,,13260
1865602,28251170231010,299,2019,260,10045,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,1660.0,69810.0,,,,-87.6905420282764,41.5796187730839,825503.0,,0,3008  171ST ST,NCHARS,,40,1,23.0,0.05,299.0,,,,,0.0,0.0,0.0,23.0,1.0,1600,4.0,16.0,100902025,,0.493358041952069,,1.0,0,0,260,100.224747442934,6.32455532033676,,13260
1865603,28251170231021,299,2019,260,10045,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,1550.0,65570.0,,,,-87.6905420282764,41.5796187730839,825503.0,,0,3010  171ST ST,NCHARS,,40,1,23.0,0.05,299.0,,,,,0.0,0.0,0.0,23.0,1.0,1600,4.0,16.0,100902025,,0.493358041952069,,1.0,0,0,260,100.224747442934,6.32455532033676,,13260
1865604,28251170231007,299,2019,260,10045,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,1300.0,54690.0,,,,-87.6905420282764,41.5796187730839,825503.0,,0,3010  171ST ST,NCHARS,,40,1,23.0,0.04,299.0,,,,,0.0,0.0,0.0,23.0,1.0,1600,4.0,16.0,100902025,,0.493358041952069,,1.0,0,0,260,100.224747442934,6.32455532033676,,13260
1865605,28251170231013,299,2019,260,10045,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,1560.0,65890.0,,,,-87.6905420282764,41.5796187730839,825503.0,,0,3010  171ST ST,NCHARS,,40,1,23.0,0.05,299.0,,,,,0.0,0.0,0.0,23.0,1.0,1600,4.0,16.0,100902025,,0.493358041952069,,1.0,0,0,260,100.224747442934,6.32455532033676,,13260
1865606,28251170231017,299,2019,260,10045,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,1560.0,65760.0,,,,-87.6905420282764,41.5796187730839,825503.0,,0,3008  171ST ST,NCHARS,,40,1,23.0,0.05,299.0,,,,,0.0,0.0,0.0,23.0,1.0,1600,4.0,16.0,100902025,,0.493358041952069,,1.0,0,0,260,100.224747442934,6.32455532033676,,13260
1865607,28251170231002,299,2019,260,10045,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,1500.0,63160.0,,,,-87.6905420282764,41.5796187730839,825503.0,,0,3008  171ST ST,NCHARS,,40,1,23.0,0.05,299.0,,,,,0.0,0.0,0.0,23.0,1.0,1600,4.0,16.0,100902025,,0.493358041952069,,1.0,0,0,260,100.224747442934,6.32455532033676,,13260
1865608,28251170231004,299,2019,260,10045,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,1020.0,34430.0,,,,-87.6905420282764,41.5796187730839,825503.0,,0,3008  171ST ST,NCHARS,,40,1,23.0,0.03,299.0,,,,,0.0,0.0,0.0,23.0,1.0,1600,4.0,16.0,100902025,,0.493358041952069,,1.0,0,0,260,100.224747442934,6.32455532033676,,13260
1865609,28251170231003,299,2019,260,10045,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,1290.0,54390.0,,,,-87.6905420282764,41.5796187730839,825503.0,,0,3008  171ST ST,NCHARS,,40,1,23.0,0.04,299.0,,,,,0.0,0.0,0.0,23.0,1.0,1600,4.0,16.0,100902025,,0.493358041952069,,1.0,0,0,260,100.224747442934,6.32455532033676,,13260
1865610,28251170231012,299,2019,260,10045,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,1420.0,59890.0,,,,-87.6905420282764,41.5796187730839,825503.0,,0,3010  171ST ST,NCHARS,,40,1,23.0,0.04,299.0,,,,,0.0,0.0,0.0,23.0,1.0,1600,4.0,16.0,100902025,,0.493358041952069,,1.0,0,0,260,100.224747442934,6.32455532033676,,13260
1865611,28251170231006,299,2019,260,10045,13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3,,,,,,1500.0,50280.0,,,,-87.6905420282764,41.5796187730839,825503.0,,0,3010  171ST ST,NCHARS,,40,1,23.0,0.05,299.0,,,,,0.0,0.0,0.0,23.0,1.0,1600,4.0,16.0,100902025,,0.493358041952069,,1.0,0,0,260,100.224747442934,6.32455532033676,,13260
